image_id2,image_id,type,SC
2201_1001,1,boxes_gt,114
2201_1002,4,boxes_gt,119
2201_1003,7,boxes_gt,128
2201_1004,10,boxes_gt,128
2201_1005,13,boxes_gt,131
2201_1006,16,boxes_gt,100
2201_1007,19,boxes_gt,121
2201_1008,24,boxes_gt,126
2201_1009,29,boxes_gt,136
2201_1010,34,boxes_gt,136
2201_1011,39,boxes_gt,120
2201_1012,44,boxes_gt,134
2201_1013,47,boxes_gt,132
2201_1014,50,boxes_gt,111
2201_1015,53,boxes_gt,118
2201_1016,56,boxes_gt,121
2201_1017,59,boxes_gt,143
2201_1018,62,boxes_gt,130
2201_1019,65,boxes_gt,105
2201_1020,70,boxes_gt,107
2201_1021,75,boxes_gt,126
2201_1022,80,boxes_gt,143
2201_1023,85,boxes_gt,125
2201_1024,90,boxes_gt,138
2201_1025,93,boxes_gt,139
2201_1026,96,boxes_gt,114
2201_1027,99,boxes_gt,100
2201_1028,102,boxes_gt,114
2201_1029,105,boxes_gt,128
2201_1030,108,boxes_gt,118
2201_1031,111,boxes_gt,137
2201_1032,116,boxes_gt,129
2201_1033,121,boxes_gt,150
2201_1034,126,boxes_gt,125
2201_1035,131,boxes_gt,146
2201_1036,136,boxes_gt,134
2201_2001,139,boxes_gt,132
2201_2002,142,boxes_gt,103
2201_2003,145,boxes_gt,132
2201_2004,148,boxes_gt,132
2201_2005,151,boxes_gt,133
2201_2006,154,boxes_gt,129
2201_2007,157,boxes_gt,112
2201_2008,160,boxes_gt,126
2201_2009,163,boxes_gt,109
2201_2010,166,boxes_gt,120
2201_2011,169,boxes_gt,130
2201_2012,172,boxes_gt,120
2201_2013,175,boxes_gt,95
2201_2014,178,boxes_gt,109
2201_2015,181,boxes_gt,126
2201_2016,184,boxes_gt,114
2201_2017,187,boxes_gt,122
2201_2018,190,boxes_gt,127
2201_2019,193,boxes_gt,117
2201_2020,196,boxes_gt,105
2201_2021,199,boxes_gt,129
2201_2022,202,boxes_gt,123
2201_2023,205,boxes_gt,127
2201_2024,208,boxes_gt,107
2201_2025,211,boxes_gt,132
2201_2026,214,boxes_gt,137
2201_2027,217,boxes_gt,126
2201_2028,220,boxes_gt,119
2201_2029,223,boxes_gt,112
2201_2030,226,boxes_gt,126
2201_2031,229,boxes_gt,133
2201_2032,232,boxes_gt,110
2201_2033,235,boxes_gt,134
2201_2034,238,boxes_gt,115
2201_2035,241,boxes_gt,72
2201_2036,244,boxes_gt,122
2202_1001,257,boxes_gt,121
2202_1002,260,boxes_gt,131
2202_1003,263,boxes_gt,104
2202_1004,266,boxes_gt,124
2202_1005,269,boxes_gt,126
2202_1006,272,boxes_gt,112
2202_1007,275,boxes_gt,121
2202_1008,278,boxes_gt,118
2202_1009,281,boxes_gt,114
2202_1010,284,boxes_gt,127
2202_1011,287,boxes_gt,107
2202_1012,290,boxes_gt,136
2202_1013,293,boxes_gt,142
2202_1014,296,boxes_gt,120
2202_1015,299,boxes_gt,124
2202_1016,302,boxes_gt,128
2202_1017,305,boxes_gt,119
2202_1018,308,boxes_gt,123
2202_1019,311,boxes_gt,108
2202_1020,314,boxes_gt,117
2202_1021,317,boxes_gt,128
2202_1022,320,boxes_gt,130
2202_1023,323,boxes_gt,125
2202_1024,326,boxes_gt,130
2202_1025,329,boxes_gt,129
2202_1026,332,boxes_gt,81
2202_1027,335,boxes_gt,125
2202_1028,338,boxes_gt,115
2202_1029,341,boxes_gt,139
2202_1030,344,boxes_gt,66
2202_2001,347,boxes_gt,131
2202_2002,350,boxes_gt,128
2202_2003,353,boxes_gt,130
2202_2004,356,boxes_gt,145
2202_2005,359,boxes_gt,118
2202_2006,362,boxes_gt,131
2202_2007,365,boxes_gt,115
2202_2008,368,boxes_gt,138
2202_2009,371,boxes_gt,111
2202_2010,374,boxes_gt,131
2202_2011,377,boxes_gt,131
2202_2012,380,boxes_gt,141
2202_2013,383,boxes_gt,136
2202_2014,386,boxes_gt,127
2202_2015,389,boxes_gt,130
2202_2016,392,boxes_gt,141
2202_2017,395,boxes_gt,126
2202_2018,398,boxes_gt,123
2202_2019,401,boxes_gt,82
2202_2020,404,boxes_gt,135
2202_2021,407,boxes_gt,133
2202_2022,410,boxes_gt,151
2202_2023,413,boxes_gt,129
2202_2024,416,boxes_gt,121
2202_2025,419,boxes_gt,140
2202_2026,422,boxes_gt,128
2202_2027,425,boxes_gt,138
2202_2028,428,boxes_gt,125
2202_2029,431,boxes_gt,125
2202_2030,434,boxes_gt,110
2201_1001,2,pred_count_10m,85
2201_1002,5,pred_count_10m,107
2201_1003,8,pred_count_10m,107
2201_1004,11,pred_count_10m,106
2201_1005,14,pred_count_10m,103
2201_1006,17,pred_count_10m,85
2201_1007,20,pred_count_10m,96
2201_1008,25,pred_count_10m,98
2201_1009,30,pred_count_10m,106
2201_1010,35,pred_count_10m,102
2201_1011,40,pred_count_10m,105
2201_1012,45,pred_count_10m,99
2201_1013,48,pred_count_10m,102
2201_1014,51,pred_count_10m,102
2201_1015,54,pred_count_10m,101
2201_1016,57,pred_count_10m,100
2201_1017,60,pred_count_10m,92
2201_1018,63,pred_count_10m,95
2201_1019,66,pred_count_10m,87
2201_1020,71,pred_count_10m,85
2201_1021,76,pred_count_10m,100
2201_1022,81,pred_count_10m,110
2201_1023,86,pred_count_10m,103
2201_1024,91,pred_count_10m,107
2201_1025,94,pred_count_10m,114
2201_1026,97,pred_count_10m,90
2201_1027,100,pred_count_10m,87
2201_1028,103,pred_count_10m,89
2201_1029,106,pred_count_10m,105
2201_1030,109,pred_count_10m,94
2201_1031,112,pred_count_10m,112
2201_1032,117,pred_count_10m,106
2201_1033,122,pred_count_10m,108
2201_1034,127,pred_count_10m,102
2201_1035,132,pred_count_10m,103
2201_1036,137,pred_count_10m,106
2201_2001,140,pred_count_10m,111
2201_2002,143,pred_count_10m,95
2201_2003,146,pred_count_10m,102
2201_2004,149,pred_count_10m,107
2201_2005,152,pred_count_10m,104
2201_2006,155,pred_count_10m,114
2201_2007,158,pred_count_10m,102
2201_2008,161,pred_count_10m,104
2201_2009,164,pred_count_10m,99
2201_2010,167,pred_count_10m,102
2201_2011,170,pred_count_10m,102
2201_2012,173,pred_count_10m,102
2201_2013,176,pred_count_10m,95
2201_2014,179,pred_count_10m,92
2201_2015,182,pred_count_10m,100
2201_2016,185,pred_count_10m,94
2201_2017,188,pred_count_10m,102
2201_2018,191,pred_count_10m,109
2201_2019,194,pred_count_10m,96
2201_2020,197,pred_count_10m,86
2201_2021,200,pred_count_10m,106
2201_2022,203,pred_count_10m,97
2201_2023,206,pred_count_10m,104
2201_2024,209,pred_count_10m,97
2201_2025,212,pred_count_10m,100
2201_2026,215,pred_count_10m,101
2201_2027,218,pred_count_10m,95
2201_2028,221,pred_count_10m,89
2201_2029,224,pred_count_10m,85
2201_2030,227,pred_count_10m,98
2201_2031,230,pred_count_10m,99
2201_2032,233,pred_count_10m,93
2201_2033,236,pred_count_10m,108
2201_2034,239,pred_count_10m,88
2201_2035,242,pred_count_10m,68
2201_2036,245,pred_count_10m,93
2202_1001,258,pred_count_10m,89
2202_1002,261,pred_count_10m,100
2202_1003,264,pred_count_10m,92
2202_1004,267,pred_count_10m,99
2202_1005,270,pred_count_10m,104
2202_1006,273,pred_count_10m,95
2202_1007,276,pred_count_10m,99
2202_1008,279,pred_count_10m,90
2202_1009,282,pred_count_10m,87
2202_1010,285,pred_count_10m,105
2202_1011,288,pred_count_10m,104
2202_1012,291,pred_count_10m,106
2202_1013,294,pred_count_10m,108
2202_1014,297,pred_count_10m,101
2202_1015,300,pred_count_10m,117
2202_1016,303,pred_count_10m,94
2202_1017,306,pred_count_10m,100
2202_1018,309,pred_count_10m,104
2202_1019,312,pred_count_10m,100
2202_1020,315,pred_count_10m,97
2202_1021,318,pred_count_10m,106
2202_1022,321,pred_count_10m,104
2202_1023,324,pred_count_10m,102
2202_1024,327,pred_count_10m,107
2202_1025,330,pred_count_10m,103
2202_1026,333,pred_count_10m,71
2202_1027,336,pred_count_10m,100
2202_1028,339,pred_count_10m,102
2202_1029,342,pred_count_10m,105
2202_1030,345,pred_count_10m,53
2202_2001,348,pred_count_10m,103
2202_2002,351,pred_count_10m,99
2202_2003,354,pred_count_10m,104
2202_2004,357,pred_count_10m,112
2202_2005,360,pred_count_10m,99
2202_2006,363,pred_count_10m,114
2202_2007,366,pred_count_10m,86
2202_2008,369,pred_count_10m,108
2202_2009,372,pred_count_10m,94
2202_2010,375,pred_count_10m,110
2202_2011,378,pred_count_10m,106
2202_2012,381,pred_count_10m,106
2202_2013,384,pred_count_10m,100
2202_2014,387,pred_count_10m,96
2202_2015,390,pred_count_10m,102
2202_2016,393,pred_count_10m,100
2202_2017,396,pred_count_10m,93
2202_2018,399,pred_count_10m,97
2202_2019,402,pred_count_10m,65
2202_2020,405,pred_count_10m,99
2202_2021,408,pred_count_10m,100
2202_2022,411,pred_count_10m,110
2202_2023,414,pred_count_10m,108
2202_2024,417,pred_count_10m,96
2202_2025,420,pred_count_10m,109
2202_2026,423,pred_count_10m,103
2202_2027,426,pred_count_10m,110
2202_2028,429,pred_count_10m,87
2202_2029,432,pred_count_10m,94
2202_2030,435,pred_count_10m,86
2201_1001,3,pred_count_7mE,63
2201_1002,6,pred_count_7mE,76
2201_1003,9,pred_count_7mE,76
2201_1004,12,pred_count_7mE,82
2201_1005,15,pred_count_7mE,62
2201_1006,18,pred_count_7mE,46
2201_1007,21,pred_count_7mE,65
2201_1008,26,pred_count_7mE,65
2201_1009,31,pred_count_7mE,72
2201_1010,36,pred_count_7mE,75
2201_1011,41,pred_count_7mE,71
2201_1012,46,pred_count_7mE,76
2201_1013,49,pred_count_7mE,80
2201_1014,52,pred_count_7mE,74
2201_1015,55,pred_count_7mE,83
2201_1016,58,pred_count_7mE,76
2201_1017,61,pred_count_7mE,60
2201_1018,64,pred_count_7mE,79
2201_1019,67,pred_count_7mE,60
2201_1020,72,pred_count_7mE,67
2201_1021,77,pred_count_7mE,53
2201_1022,82,pred_count_7mE,61
2201_1023,87,pred_count_7mE,61
2201_1024,92,pred_count_7mE,72
2201_1025,95,pred_count_7mE,75
2201_1026,98,pred_count_7mE,67
2201_1027,101,pred_count_7mE,66
2201_1028,104,pred_count_7mE,68
2201_1029,107,pred_count_7mE,68
2201_1030,110,pred_count_7mE,63
2201_1031,113,pred_count_7mE,77
2201_1032,118,pred_count_7mE,63
2201_1033,123,pred_count_7mE,76
2201_1034,128,pred_count_7mE,67
2201_1035,133,pred_count_7mE,72
2201_1036,138,pred_count_7mE,75
2201_2001,141,pred_count_7mE,79
2201_2002,144,pred_count_7mE,55
2201_2003,147,pred_count_7mE,74
2201_2004,150,pred_count_7mE,72
2201_2005,153,pred_count_7mE,74
2201_2006,156,pred_count_7mE,91
2201_2007,159,pred_count_7mE,65
2201_2008,162,pred_count_7mE,74
2201_2009,165,pred_count_7mE,57
2201_2010,168,pred_count_7mE,62
2201_2011,171,pred_count_7mE,97
2201_2012,174,pred_count_7mE,77
2201_2013,177,pred_count_7mE,64
2201_2014,180,pred_count_7mE,62
2201_2015,183,pred_count_7mE,71
2201_2016,186,pred_count_7mE,70
2201_2017,189,pred_count_7mE,60
2201_2018,192,pred_count_7mE,68
2201_2019,195,pred_count_7mE,58
2201_2020,198,pred_count_7mE,55
2201_2021,201,pred_count_7mE,63
2201_2022,204,pred_count_7mE,59
2201_2023,207,pred_count_7mE,76
2201_2024,210,pred_count_7mE,73
2201_2025,213,pred_count_7mE,73
2201_2026,216,pred_count_7mE,79
2201_2027,219,pred_count_7mE,62
2201_2028,222,pred_count_7mE,58
2201_2029,225,pred_count_7mE,55
2201_2030,228,pred_count_7mE,80
2201_2031,231,pred_count_7mE,52
2201_2032,234,pred_count_7mE,63
2201_2033,237,pred_count_7mE,59
2201_2034,240,pred_count_7mE,45
2201_2035,243,pred_count_7mE,40
2201_2036,246,pred_count_7mE,81
2202_1001,259,pred_count_7mE,70
2202_1002,262,pred_count_7mE,68
2202_1003,265,pred_count_7mE,54
2202_1004,268,pred_count_7mE,59
2202_1005,271,pred_count_7mE,70
2202_1006,274,pred_count_7mE,51
2202_1007,277,pred_count_7mE,75
2202_1008,280,pred_count_7mE,61
2202_1009,283,pred_count_7mE,59
2202_1010,286,pred_count_7mE,69
2202_1011,289,pred_count_7mE,73
2202_1012,292,pred_count_7mE,80
2202_1013,295,pred_count_7mE,76
2202_1014,298,pred_count_7mE,60
2202_1015,301,pred_count_7mE,74
2202_1016,304,pred_count_7mE,73
2202_1017,307,pred_count_7mE,66
2202_1018,310,pred_count_7mE,67
2202_1019,313,pred_count_7mE,52
2202_1020,316,pred_count_7mE,59
2202_1021,319,pred_count_7mE,86
2202_1022,322,pred_count_7mE,76
2202_1023,325,pred_count_7mE,70
2202_1024,328,pred_count_7mE,76
2202_1025,331,pred_count_7mE,73
2202_1026,334,pred_count_7mE,39
2202_1027,337,pred_count_7mE,73
2202_1028,340,pred_count_7mE,80
2202_1029,343,pred_count_7mE,70
2202_1030,346,pred_count_7mE,32
2202_2001,349,pred_count_7mE,75
2202_2002,352,pred_count_7mE,69
2202_2003,355,pred_count_7mE,67
2202_2004,358,pred_count_7mE,80
2202_2005,361,pred_count_7mE,67
2202_2006,364,pred_count_7mE,67
2202_2007,367,pred_count_7mE,59
2202_2008,370,pred_count_7mE,71
2202_2009,373,pred_count_7mE,54
2202_2010,376,pred_count_7mE,68
2202_2011,379,pred_count_7mE,72
2202_2012,382,pred_count_7mE,70
2202_2013,385,pred_count_7mE,60
2202_2014,388,pred_count_7mE,66
2202_2015,391,pred_count_7mE,72
2202_2016,394,pred_count_7mE,72
2202_2017,397,pred_count_7mE,59
2202_2018,400,pred_count_7mE,74
2202_2019,403,pred_count_7mE,43
2202_2020,406,pred_count_7mE,68
2202_2021,409,pred_count_7mE,64
2202_2022,412,pred_count_7mE,90
2202_2023,415,pred_count_7mE,76
2202_2024,418,pred_count_7mE,63
2202_2025,421,pred_count_7mE,68
2202_2026,424,pred_count_7mE,64
2202_2027,427,pred_count_7mE,73
2202_2028,430,pred_count_7mE,63
2202_2029,433,pred_count_7mE,62
2202_2030,436,pred_count_7mE,57
